company_id,industry,years_in_business,num_employees,annual_revenue,current_ratio,debt_to_equity,interest_coverage,profit_margin,asset_turnover,operating_cash_flow,working_capital,primary_bank_relationship_years,num_banking_products,credit_line_amount,credit_utilization,outstanding_loans,days_past_due,payment_delays_12m,geographic_risk,market_competition,management_quality,sme_credit_score,default_probability,is_default,observation_date,gdp_growth,unemployment_rate,interest_rate,credit_spread,vix,macro_risk_factor
SME_00011,Construction,4.3,2,207512.13,1.7,0.41,3.63,0.075,0.68,16003.91,27729.21,3.9,3,79873.29,0.2924,23358.12,0,1,Medium,Medium,8.0,680,0.019041901914233945,0,2024-08-31,0.024619848790466338,0.05987807486761972,0.030277269143197515,0.018696547940990547,27.865517589241698,0.9967093521794543
SME_00012,Real Estate,1.4,1,100000.0,1.47,1.0,8.15,-0.0214,0.33,-2120.38,17137.84,1.2,1,25909.57,0.4915,12734.85,30,0,Low,Low,8.1,596,0.08896584752649785,0,2024-04-30,0.03469556917918611,0.05654511409480706,0.04265661301752087,0.015071299865287758,23.89563209058569,0.7947300920328391
SME_00013,Professional Services,9.8,10,1143925.65,1.28,1.49,10.4,0.0876,1.88,117147.52,269434.87,4.2,3,268620.73,0.3519,94514.3,0,0,Low,Medium,7.3,701,0.01060017813832758,0,2023-08-31,0.008052395583524479,0.041925163786785305,0.03272494798869057,0.016007742508020287,22.282265607666464,0.8530543036014939
SME_00014,Retail Trade,1.0,1,139765.72,2.49,0.26,3.1,0.0218,2.66,3819.1,16399.89,1.0,2,29822.52,0.403,12017.14,0,1,Low,Medium,8.8,631,0.04579516495784236,0,2023-05-31,0.012513726520533543,0.07334920130649732,0.031140998862503978,0.01711559471502375,24.577554413233425,0.91920957506971
SME_00015,Finance,7.6,12,1156926.66,1.45,0.81,6.23,-0.0117,1.48,-17524.01,73251.11,2.6,4,342816.85,0.414,141939.23,0,0,Medium,Low,5.8,610,0.03626222503919331,0,2023-08-31,0.008052395583524479,0.041925163786785305,0.03272494798869057,0.016007742508020287,22.282265607666464,0.8530543036014939
SME_00016,Professional Services,16.6,41,8511655.03,0.76,0.17,4.63,0.1136,1.38,1163947.37,679122.72,13.5,3,1690762.29,0.1722,291216.42,0,4,Medium,Low,8.9,658,0.011122306873166008,0,2023-05-31,0.012513726520533543,0.07334920130649732,0.031140998862503978,0.01711559471502375,24.577554413233425,0.91920957506971
SME_00017,Construction,25.7,1,100000.0,3.45,0.22,10.19,0.0452,0.44,5608.63,12517.29,21.2,4,43516.59,0.1737,7560.66,0,5,Low,Low,7.9,713,0.007981108627649941,0,2023-09-30,0.014007855245148668,0.051049755157718146,0.03290699334585797,0.01621598019368359,29.349076495171758,1.0160229505175198
SME_00018,Manufacturing,10.1,9,666935.19,1.98,0.82,5.11,0.1688,0.28,123960.0,133252.54,8.9,1,201034.28,0.3445,69258.75,0,1,High,High,7.1,705,0.003013195291627909,0,2024-03-31,0.004971122783148704,0.048972192996683074,0.03683184875235978,0.013415258116731322,23.573618147452756,0.8427322476714992
SME_00019,Retail Trade,6.8,12,848870.12,2.42,0.1,2.68,0.1384,0.76,104854.81,119761.75,3.7,2,91475.47,0.3677,33637.1,30,1,Medium,Medium,8.6,700,0.006121122627231243,0,2023-08-31,0.008052395583524479,0.041925163786785305,0.03272494798869057,0.016007742508020287,22.282265607666464,0.8530543036014939
SME_00020,Finance,1.3,3,434219.77,1.48,0.79,3.84,0.0739,0.93,26352.64,46948.75,1.1,3,152805.21,0.4189,64007.24,0,1,Low,Medium,5.2,653,0.02168445829513094,0,2023-05-31,0.012513726520533543,0.07334920130649732,0.031140998862503978,0.01711559471502375,24.577554413233425,0.91920957506971
SME_00021,Finance,5.5,9,2913578.74,1.57,0.28,2.09,0.1971,0.48,662485.47,382911.09,2.9,1,751748.9,0.5845,439380.39,60,0,Low,High,8.6,671,0.00675262118621856,0,2023-12-31,0.022708583158864096,0.04619820984379244,0.028232429027276892,0.015741330410729816,19.893059443228346,0.7440273448187127
SME_00022,Other Services,1.5,1,100000.0,0.5,0.89,2.91,0.2074,0.96,19024.69,9743.54,1.0,2,32028.52,0.1799,5762.32,0,3,Low,Medium,6.0,585,0.04719634469758828,0,2023-07-31,0.0199449965378128,0.060318652951567533,0.03648197571268648,0.024912627018436127,27.01983447040821,1.1139134125154895
SME_00023,Construction,5.7,5,786477.63,0.5,0.59,17.05,0.0907,0.31,82298.2,102265.09,3.5,2,198368.66,0.4167,82657.71,0,2,Low,Medium,6.7,666,0.0513413730355964,0,2024-01-31,0.02895401216336245,0.04909605772087824,0.03168004780130085,0.016194242434756336,21.787052278772908,0.7816991191743621
SME_00024,Other Services,32.6,37,3270648.67,2.45,0.15,5.64,0.0764,0.93,307236.41,582209.64,13.1,3,1333447.4,0.2462,328290.22,0,0,High,Medium,8.5,765,0.0031912894115788404,0,2023-03-31,0.03381930882865776,0.05095238573501423,0.037311716094907535,0.017794471254576984,22.539948405450666,0.817930208741833
SME_00025,Construction,1.1,1,100000.0,2.94,1.01,6.92,0.0922,0.93,9172.25,10502.18,1.0,3,19075.99,0.0681,1299.28,0,1,Low,High,5.1,692,0.01743233430144043,0,2024-05-31,0.034657824834018636,0.05517633942511286,0.03957065105718657,0.014746394670999438,18.814867129049375,0.6613260971441672
SME_00026,Food Services,1.0,2,100000.0,0.5,0.19,1.92,-0.0126,1.29,-1511.98,18125.98,1.0,3,29810.4,0.6065,18080.58,0,1,Low,Low,7.8,518,0.26954247797935904,0,2024-01-31,0.02895401216336245,0.04909605772087824,0.03168004780130085,0.016194242434756336,21.787052278772908,0.7816991191743621
SME_00027,Retail Trade,11.1,4,311053.87,0.5,2.09,4.93,0.005,0.54,1718.13,53563.44,7.3,2,118209.4,0.5828,68895.0,30,0,High,Medium,8.9,541,0.2750125101492364,0,2024-10-31,-0.0024318512365618886,0.05629499586269324,0.03385166478859259,0.014819687670918288,27.872443953656187,1.000500405969456
SME_00028,Education,1.4,2,192184.55,0.87,0.31,5.19,0.0531,0.43,8827.4,26380.06,1.0,1,72076.16,0.1298,9352.06,30,1,Medium,High,6.9,633,0.0502150466508667,0,2024-12-31,0.03137899549030157,0.061619466678369796,0.031163845282238388,0.01743900680124196,25.529119466695747,0.8928711362213282
SME_00029,Manufacturing,1.7,8,469036.2,2.3,1.47,4.91,0.0626,0.55,32542.75,26888.19,1.0,4,101460.48,0.191,19375.74,0,0,Low,Medium,4.5,662,0.027363491924644042,0,2022-12-31,-0.0018728922892086476,0.060912089898399926,0.03450420889080864,0.013588923375809081,25.863544535543017,0.923985757772383
SME_00030,Professional Services,10.8,20,1478054.2,2.73,0.68,3.21,0.0167,0.97,29142.78,101036.62,4.8,4,276732.77,0.4468,123633.47,30,0,Medium,Medium,6.4,648,0.014474935986670191,0,2024-02-29,0.0289749079021629,0.06025358871416649,0.03420755415740715,0.0171673256091268,24.883245300585088,0.8785029209906745
SME_00031,Retail Trade,11.7,18,1732653.04,0.59,1.89,1.35,0.2247,1.54,359170.93,372491.52,3.9,1,678313.66,0.2578,174880.98,90,0,Low,High,6.3,601,0.028714899264097076,0,2024-01-31,0.02895401216336245,0.04909605772087824,0.03168004780130085,0.016194242434756336,21.787052278772908,0.7816991191743621
SME_00032,Healthcare,2.2,1,139926.96,0.76,0.79,8.48,0.1192,1.74,17198.46,32559.12,1.8,4,45841.08,0.257,11783.29,0,1,Medium,Medium,7.4,664,0.02538040518483018,0,2024-08-31,0.024619848790466338,0.05987807486761972,0.030277269143197515,0.018696547940990547,27.865517589241698,0.9967093521794543
SME_00033,Construction,5.8,1,100000.0,1.45,2.21,4.84,-0.0012,2.17,-121.05,9805.01,2.4,5,42195.66,0.3157,13320.06,60,1,Low,Low,6.8,553,0.13635142831139613,0,2023-11-30,0.04472161011056566,0.0553360888922595,0.028026805183269686,0.022505520881805113,17.018481254621115,0.7414076186699331
SME_00034,Technology,7.2,8,1294552.55,0.5,0.43,2.09,0.0648,3.95,69740.22,85190.41,3.9,2,217789.99,0.1876,40848.46,0,2,Low,Medium,7.4,606,0.05263128498204498,0,2024-02-29,0.0289749079021629,0.06025358871416649,0.03420755415740715,0.0171673256091268,24.883245300585088,0.8785029209906745
SME_00035,Other Services,25.6,53,3277215.05,3.97,1.54,3.21,0.1412,2.45,453815.55,599378.69,15.9,5,473926.89,0.4831,228959.15,0,1,Medium,Medium,7.7,694,0.003982223478263902,0,2024-07-31,0.022210383847610954,0.07195995607594714,0.035192313918469754,0.018493943141637013,26.924499295250627,0.9763601936711731
SME_00036,Education,13.1,8,604950.09,0.59,0.26,9.54,0.1049,0.85,63346.49,37306.93,7.7,2,148223.75,0.4012,59474.42,30,1,Medium,Medium,6.3,708,0.008176290708265657,0,2024-07-31,0.022210383847610954,0.07195995607594714,0.035192313918469754,0.018493943141637013,26.924499295250627,0.9763601936711731
SME_00037,Education,6.5,45,2698934.46,0.91,1.61,2.18,0.0311,1.79,89559.71,160830.63,3.1,3,338534.91,0.3754,127099.02,0,0,Low,Medium,6.0,572,0.08752799109371652,0,2024-11-30,0.03358124784374646,0.0495073889541218,0.03691107179328709,0.02042833664313584,23.252654847146324,0.8891393605101355
SME_00038,Healthcare,6.0,9,1084914.2,4.16,1.14,2.86,0.0036,0.53,4701.34,78388.73,2.0,1,519855.73,0.0463,24069.9,0,1,Low,Medium,7.8,597,0.035781777059313284,0,2023-11-30,0.04472161011056566,0.0553360888922595,0.028026805183269686,0.022505520881805113,17.018481254621115,0.7414076186699331
SME_00039,Retail Trade,9.5,5,218772.63,2.3,1.95,7.09,0.1461,0.98,29485.22,31569.5,3.4,4,50865.01,0.2267,11532.95,30,0,Low,Medium,8.0,696,0.006576565701458958,0,2023-09-30,0.014007855245148668,0.051049755157718146,0.03290699334585797,0.01621598019368359,29.349076495171758,1.0160229505175198
SME_00040,Professional Services,8.8,25,3542509.07,1.15,0.3,6.33,-0.0116,1.04,-33996.25,328487.9,4.1,1,1042186.89,0.3521,366936.39,60,1,Low,Medium,8.4,607,0.04587294654836068,0,2023-06-30,0.02377519410809946,0.039892130560106355,0.03647305790619906,0.021222648848562054,23.21827868605176,0.9335843617982367
SME_00041,Other Services,1.8,2,170780.19,0.86,1.82,2.72,0.0812,2.39,17354.95,23432.1,1.5,2,19819.89,0.2898,5744.05,0,3,Low,High,5.7,571,0.1317364926116872,0,2024-10-31,-0.0024318512365618886,0.05629499586269324,0.03385166478859259,0.014819687670918288,27.872443953656187,1.000500405969456
SME_00042,Construction,16.8,58,3972499.33,0.65,0.22,5.79,0.0989,0.3,460807.45,519727.53,11.2,1,703839.23,0.0415,29243.47,0,2,Low,Medium,5.7,682,0.01796381320303357,0,2024-11-30,0.03358124784374646,0.0495073889541218,0.03691107179328709,0.02042833664313584,23.252654847146324,0.8891393605101355
SME_00043,Finance,6.5,5,521712.12,2.91,0.2,5.02,0.0843,3.03,43211.69,95226.9,5.4,2,139309.64,0.4628,64474.27,0,1,High,Medium,8.9,715,0.008733452798108124,0,2023-08-31,0.008052395583524479,0.041925163786785305,0.03272494798869057,0.016007742508020287,22.282265607666464,0.8530543036014939
SME_00044,Food Services,4.2,30,1348527.59,2.22,0.98,1.77,0.059,3.71,90764.33,67848.57,1.6,3,475376.24,0.3093,147040.77,30,1,Low,High,6.0,644,0.031011179984796817,0,2024-11-30,0.03358124784374646,0.0495073889541218,0.03691107179328709,0.02042833664313584,23.252654847146324,0.8891393605101355
SME_00045,Technology,4.9,4,827318.67,2.95,0.99,9.2,0.006,1.04,4076.89,54677.31,3.1,2,343475.48,0.198,68012.69,0,2,Medium,High,9.6,642,0.0223845586354516,0,2023-09-30,0.014007855245148668,0.051049755157718146,0.03290699334585797,0.01621598019368359,29.349076495171758,1.0160229505175198
SME_00046,Manufacturing,2.5,3,372664.03,3.07,0.79,6.81,-0.0149,0.43,-4809.06,29501.37,2.0,2,157119.32,0.4433,69648.47,0,0,Low,Medium,8.7,622,0.04807725003507163,0,2024-05-31,0.034657824834018636,0.05517633942511286,0.03957065105718657,0.014746394670999438,18.814867129049375,0.6613260971441672
SME_00047,Education,7.2,8,409473.72,1.26,1.84,4.2,0.1225,1.28,40364.02,94929.13,4.8,4,116545.62,0.1633,19027.36,0,0,Low,Medium,4.9,641,0.015730450720192943,0,2024-11-30,0.03358124784374646,0.0495073889541218,0.03691107179328709,0.02042833664313584,23.252654847146324,0.8891393605101355
SME_00048,Professional Services,1.0,1,100000.0,1.05,0.55,19.46,0.1451,1.02,18086.03,8773.2,1.0,2,16497.78,0.3791,6254.74,0,1,Low,High,7.4,687,0.011566904183075358,0,2023-02-28,0.0339973416877403,0.0529424259359959,0.03363760860686109,0.020316013683670107,24.313820360323206,0.9121737576182614
SME_00049,Construction,1.2,3,310343.5,0.61,0.89,8.87,0.0558,0.9,18346.89,41414.96,1.0,6,85996.01,0.333,28633.24,0,2,Low,High,8.8,627,0.11071827619109131,0,2023-12-31,0.022708583158864096,0.04619820984379244,0.028232429027276892,0.015741330410729816,19.893059443228346,0.7440273448187127
SME_00050,Other Services,10.3,157,7936009.37,2.1,0.85,2.8,0.0684,4.0,630812.99,625922.25,3.3,1,2260800.0,0.358,809347.28,30,3,Low,Low,3.4,661,0.011212967083941336,0,2024-01-31,0.02895401216336245,0.04909605772087824,0.03168004780130085,0.016194242434756336,21.787052278772908,0.7816991191743621
SME_00051,Transportation,14.0,2,216374.35,4.19,1.01,5.05,0.0504,2.94,10738.13,34596.52,8.3,1,95166.32,0.2486,23657.24,120,1,High,Medium,7.2,685,0.0082236216728537,0,2023-11-30,0.04472161011056566,0.0553360888922595,0.028026805183269686,0.022505520881805113,17.018481254621115,0.7414076186699331
SME_00052,Construction,6.7,9,586743.33,1.09,0.57,3.21,0.1507,2.38,112406.87,29992.08,5.5,5,197229.77,0.2752,54271.94,0,1,Low,Medium,6.1,653,0.014161439454836599,0,2024-05-31,0.034657824834018636,0.05517633942511286,0.03957065105718657,0.014746394670999438,18.814867129049375,0.6613260971441672
SME_00053,Technology,2.8,1,167430.47,1.47,0.33,2.92,0.0573,4.0,8682.91,9829.33,1.4,3,25043.78,0.4225,10581.09,0,2,Low,Medium,8.0,636,0.02107763284506535,0,2023-12-31,0.022708583158864096,0.04619820984379244,0.028232429027276892,0.015741330410729816,19.893059443228346,0.7440273448187127
SME_00054,Construction,19.2,20,1467682.59,1.08,0.21,7.44,0.0059,0.41,8336.28,115906.12,14.0,4,286925.5,0.4216,120965.48,30,1,Low,High,8.2,660,0.029685950395549172,0,2024-10-31,-0.0024318512365618886,0.05629499586269324,0.03385166478859259,0.014819687670918288,27.872443953656187,1.000500405969456
SME_00055,Transportation,1.0,10,663566.6,1.96,0.11,12.27,0.1364,1.55,92951.38,45618.56,1.0,3,232579.6,0.1865,43367.68,0,0,Low,Medium,8.2,747,0.005684151310343353,0,2023-02-28,0.0339973416877403,0.0529424259359959,0.03363760860686109,0.020316013683670107,24.313820360323206,0.9121737576182614
SME_00056,Construction,29.1,97,9965733.27,0.6,0.19,5.41,0.0513,1.97,423195.83,1719598.06,18.2,1,3924302.92,0.5399,2118875.99,0,0,Medium,Medium,7.2,679,0.03430849436888668,0,2023-06-30,0.02377519410809946,0.039892130560106355,0.03647305790619906,0.021222648848562054,23.21827868605176,0.9335843617982367
SME_00057,Food Services,20.7,64,4355027.38,0.5,3.0,6.2,0.0684,1.02,244646.33,962036.13,10.1,3,1162579.14,0.2314,269016.78,0,0,Medium,High,7.0,627,0.08897217602661353,0,2024-08-31,0.024619848790466338,0.05987807486761972,0.030277269143197515,0.018696547940990547,27.865517589241698,0.9967093521794543
SME_00058,Food Services,1.0,2,116473.74,0.5,0.37,6.19,0.1184,3.37,12994.12,22017.68,1.0,3,15059.21,0.3482,5243.92,0,0,Low,Low,5.2,655,0.058746343324755236,0,2024-12-31,0.03137899549030157,0.061619466678369796,0.031163845282238388,0.01743900680124196,25.529119466695747,0.8928711362213282
SME_00059,Technology,5.0,3,814175.4,1.17,0.9,11.31,0.1373,0.83,110730.28,188921.53,4.3,4,98314.47,0.2391,23506.88,0,0,Low,High,5.8,702,0.006960669735156255,0,2024-06-30,0.06704358967047258,0.04959728125276691,0.0344851812997627,0.015176471367325958,22.5463910957259,0.666058435728249
SME_00060,Healthcare,13.6,2,419412.22,0.5,0.1,0.88,-0.0005,2.61,-240.52,35665.26,9.8,3,128676.29,0.1835,23616.9,0,1,Low,Low,6.8,567,0.06521426560362116,0,2024-05-31,0.034657824834018636,0.05517633942511286,0.03957065105718657,0.014746394670999438,18.814867129049375,0.6613260971441672
SME_00061,Professional Services,22.5,13,2512065.42,1.9,0.49,9.23,0.1785,1.56,566563.97,232085.84,8.5,2,1117094.4,0.0512,57228.41,0,0,Medium,Low,4.2,779,0.0009429994686201778,0,2024-11-30,0.03358124784374646,0.0495073889541218,0.03691107179328709,0.02042833664313584,23.252654847146324,0.8891393605101355
SME_00062,Professional Services,9.8,26,2726547.43,1.03,0.32,5.96,0.1469,2.96,408494.79,609310.29,7.3,5,548956.48,0.6224,341648.82,60,0,High,High,6.7,686,0.008272525496605477,0,2023-10-31,0.021148998146335724,0.06353513418750364,0.03642495556914113,0.022536910140728283,22.381872723888694,0.9468380264727759
SME_00063,Real Estate,16.2,36,1902264.97,3.9,0.75,4.7,0.0581,3.07,141256.61,284027.88,14.1,5,943787.39,0.3022,285247.96,0,0,Low,High,6.7,713,0.0066614279397934646,0,2024-04-30,0.03469556917918611,0.05654511409480706,0.04265661301752087,0.015071299865287758,23.89563209058569,0.7947300920328391
SME_00064,Manufacturing,2.2,1,113491.06,1.23,3.0,2.2,0.0553,0.21,5814.84,12978.93,1.0,3,33086.1,0.1897,6274.85,0,1,Medium,Medium,8.1,557,0.16367773577917172,1,2023-12-31,0.022708583158864096,0.04619820984379244,0.028232429027276892,0.015741330410729816,19.893059443228346,0.7440273448187127
SME_00065,Food Services,6.3,13,1059852.89,0.5,1.27,6.69,0.0709,1.1,78644.35,230894.72,4.7,1,181271.44,0.4119,74663.25,0,1,Low,Medium,7.4,632,0.09436929980153985,0,2024-12-31,0.03137899549030157,0.061619466678369796,0.031163845282238388,0.01743900680124196,25.529119466695747,0.8928711362213282
SME_00066,Manufacturing,5.8,21,1924269.79,1.43,0.55,12.36,-0.0087,0.93,-19379.15,418766.55,5.0,2,574931.37,0.5084,292294.43,0,0,Medium,High,6.4,640,0.041542524148696615,0,2023-09-30,0.014007855245148668,0.051049755157718146,0.03290699334585797,0.01621598019368359,29.349076495171758,1.0160229505175198
SME_00067,Retail Trade,14.0,7,546294.1,0.5,0.84,5.78,0.0617,0.39,29972.63,71126.31,5.3,5,215375.0,0.2567,55287.82,0,1,Medium,High,9.0,647,0.03369280974741988,0,2024-01-31,0.02895401216336245,0.04909605772087824,0.03168004780130085,0.016194242434756336,21.787052278772908,0.7816991191743621
SME_00068,Construction,3.9,9,1287788.4,3.52,0.28,3.55,0.0783,1.9,109506.36,154880.24,3.3,3,340739.18,0.5799,197601.79,30,1,Low,Low,3.8,686,0.022576034535106596,0,2023-04-30,0.03156438627668371,0.05548860656046874,0.0324309570679129,0.02097087145321949,21.24904679221519,0.8559504400397184
SME_00069,Manufacturing,7.6,8,684441.63,2.81,0.41,8.51,0.0284,2.51,16685.06,71309.51,2.6,1,334292.97,0.3702,123767.47,90,0,Low,Medium,6.3,703,0.013272771966525805,0,2024-11-30,0.03358124784374646,0.0495073889541218,0.03691107179328709,0.02042833664313584,23.252654847146324,0.8891393605101355
SME_00070,Professional Services,19.5,31,2894570.66,1.9,0.83,4.8,0.1308,2.17,312880.32,570112.71,8.8,3,1155540.17,0.7481,864438.2,0,2,Low,High,6.0,688,0.004180028300961901,0,2024-06-30,0.06704358967047258,0.04959728125276691,0.0344851812997627,0.015176471367325958,22.5463910957259,0.666058435728249
SME_00071,Technology,4.8,3,284065.61,1.57,0.24,9.9,-0.0075,1.77,-2428.55,51120.98,1.8,1,64205.64,0.5535,35540.52,0,0,Low,High,5.9,649,0.02719575785820541,0,2024-01-31,0.02895401216336245,0.04909605772087824,0.03168004780130085,0.016194242434756336,21.787052278772908,0.7816991191743621
SME_00072,Professional Services,10.6,8,895344.66,2.54,1.23,16.82,0.1322,1.96,136759.37,54376.38,6.4,2,261659.63,0.2965,77592.69,60,3,Medium,High,8.1,709,0.003385691681404763,0,2023-11-30,0.04472161011056566,0.0553360888922595,0.028026805183269686,0.022505520881805113,17.018481254621115,0.7414076186699331
SME_00073,Transportation,26.5,410,25000000.0,2.99,0.8,6.98,0.029,3.64,716602.4,5820203.57,14.9,4,11429593.35,0.71,8114896.72,0,3,Medium,Medium,8.6,659,0.016906801429806724,0,2023-12-31,0.022708583158864096,0.04619820984379244,0.028232429027276892,0.015741330410729816,19.893059443228346,0.7440273448187127
SME_00074,Transportation,11.0,1,100000.0,0.71,2.61,12.69,0.1098,0.89,11190.89,5983.81,5.7,1,49273.01,0.4156,20479.12,90,1,Medium,High,6.3,637,0.044662921672411385,0,2023-12-31,0.022708583158864096,0.04619820984379244,0.028232429027276892,0.015741330410729816,19.893059443228346,0.7440273448187127
SME_00075,Food Services,5.0,17,1714825.55,1.49,0.19,4.7,0.1393,0.36,248358.15,415226.1,2.6,3,676673.39,0.1121,75875.26,0,0,Low,Low,7.3,699,0.008128592758848613,0,2023-03-31,0.03381930882865776,0.05095238573501423,0.037311716094907535,0.017794471254576984,22.539948405450666,0.817930208741833
SME_00076,Retail Trade,1.1,1,100000.0,1.7,0.96,1.95,0.1378,0.89,17815.97,12048.21,1.0,2,17232.91,0.7579,13060.14,30,1,High,Medium,8.2,616,0.027153064073499402,0,2024-04-30,0.03469556917918611,0.05654511409480706,0.04265661301752087,0.015071299865287758,23.89563209058569,0.7947300920328391
SME_00077,Other Services,4.6,5,342863.19,1.59,0.18,1.94,0.19,1.87,55875.92,50002.49,2.9,7,88999.11,0.115,10236.67,120,1,Low,High,6.3,670,0.006245054389494699,0,2023-11-30,0.04472161011056566,0.0553360888922595,0.028026805183269686,0.022505520881805113,17.018481254621115,0.7414076186699331
SME_00078,Healthcare,16.4,19,2423665.18,1.51,1.17,7.37,0.1165,1.56,254055.57,384803.15,6.4,2,701722.62,0.0485,34051.55,0,3,Low,Medium,4.9,690,0.0036266874381704305,0,2023-10-31,0.021148998146335724,0.06353513418750364,0.03642495556914113,0.022536910140728283,22.381872723888694,0.9468380264727759
SME_00079,Education,10.3,45,2551560.03,0.5,0.24,10.15,0.1221,0.58,354459.31,143289.2,8.9,2,617628.62,0.2805,173263.79,0,0,Medium,Medium,8.8,708,0.009889427055246505,0,2023-06-30,0.02377519410809946,0.039892130560106355,0.03647305790619906,0.021222648848562054,23.21827868605176,0.9335843617982367
SME_00080,Professional Services,6.2,3,596982.93,3.31,1.87,3.3,0.0841,0.91,63489.91,44930.18,5.0,2,99876.16,0.2307,23037.07,0,0,Low,Medium,6.1,660,0.016770813986349567,0,2023-05-31,0.012513726520533543,0.07334920130649732,0.031140998862503978,0.01711559471502375,24.577554413233425,0.91920957506971
SME_00081,Technology,15.2,9,2089106.55,0.98,0.24,5.13,0.0102,0.2,19245.86,381433.15,8.9,3,454267.59,0.1595,72455.47,0,0,Low,Medium,8.1,641,0.020249268336779824,0,2023-12-31,0.022708583158864096,0.04619820984379244,0.028232429027276892,0.015741330410729816,19.893059443228346,0.7440273448187127
SME_00082,Other Services,7.3,130,5703042.28,1.2,1.33,3.95,0.1902,0.89,1349401.92,1420317.56,2.4,4,1968377.95,0.1085,213578.36,0,0,Medium,High,6.9,652,0.01100203927645369,0,2024-06-30,0.06704358967047258,0.04959728125276691,0.0344851812997627,0.015176471367325958,22.5463910957259,0.666058435728249
SME_00083,Other Services,3.2,1,100000.0,5.0,0.1,3.95,0.1194,2.82,14598.31,13786.53,2.7,1,13042.15,0.4482,5845.9,30,0,Low,Medium,6.4,711,0.008529788014788715,0,2024-10-31,-0.0024318512365618886,0.05629499586269324,0.03385166478859259,0.014819687670918288,27.872443953656187,1.000500405969456
