company_id,industry,years_established,num_employees,is_public,market_cap,annual_revenue,current_ratio,quick_ratio,cash_ratio,debt_to_equity,debt_to_assets,times_interest_earned,net_profit_margin,roa,roe,asset_turnover,inventory_turnover,operating_cash_flow,free_cash_flow,credit_rating,num_banking_relationships,primary_bank_relationship_years,total_credit_facilities,committed_facilities,utilization_rate,outstanding_debt,geographic_diversification,regulatory_environment,market_position,esg_score,corporate_credit_score,default_probability,is_default,observation_date,gdp_growth,unemployment_rate,interest_rate,credit_spread,vix,macro_risk_factor
CORP_0014,Technology,22,3448,1,132044224.65,1309346985.36,1.04,0.9,0.43,0.55,0.3817,13.05,0.2365,0.0882,0.1622,0.59,3.42,374139416.7,307239239.83,A-,4,4.8,165884160.28,113234281.7,0.084,9512330.91,Domestic,Medium,Average,87,786,0.0007140941647670858,0,2024-09-30,0.015916548408173605,0.03860390132354587,0.03519987129482797,0.02158169654461952,22.157301463024925,0.8690131623605147
CORP_0015,Healthcare,5,1960,0,0.0,366925456.65,0.8,0.56,0.22,0.1,0.0956,6.1,0.0355,0.1177,0.105,0.5,2.98,18100822.91,15714906.34,BB-,4,2.0,64916808.29,43097585.79,0.3455,14889731.57,Global,High,Weak,55,626,0.03288160511715236,0,2023-03-31,0.03381930882865776,0.05095238573501423,0.037311716094907535,0.017794471254576984,22.539948405450666,0.8291414560507036
CORP_0016,Media,5,3493,0,0.0,1501872602.86,1.38,0.9,0.39,0.11,0.1158,6.93,0.1042,0.1808,0.1634,1.69,6.0,185012370.21,127855586.66,BBB+,9,3.3,186968173.81,126001174.6,0.6014,75779380.77,Domestic,High,Weak,72,742,0.00800610768486835,0,2024-03-31,0.004971122783148704,0.048972192996683074,0.03683184875235978,0.013415258116731322,23.573618147452756,0.778281751303648
CORP_0017,Media,18,9284,0,0.0,1596693814.78,1.0,0.7,0.45,0.77,0.4346,7.01,0.0491,0.06,0.1228,0.63,8.95,92990897.66,75770600.59,CCC-,6,11.1,154947889.54,107869516.39,0.4495,48492719.28,Regional,Low,Average,81,505,0.1630351974354077,0,2024-09-30,0.015916548408173605,0.03860390132354587,0.03519987129482797,0.02158169654461952,22.157301463024925,0.8690131623605147
CORP_0018,Transportation,5,522,1,4211804666.33,161931324.75,0.84,0.67,0.25,2.5,0.7742,2.82,0.117,0.0592,0.2247,0.79,5.22,22438762.52,18366387.0,BBB-,6,2.9,22949833.6,16887628.83,0.408,6890283.58,Regional,High,Average,70,625,0.07729124476741728,0,2023-04-30,0.03156438627668371,0.05548860656046874,0.0324309570679129,0.02097087145321949,21.24904679221519,0.83086863700811
CORP_0019,Consumer Goods,33,3353,1,373366178.3,664936602.12,2.19,1.45,0.48,0.48,0.3507,5.21,0.0823,0.0922,0.1259,3.0,2.38,71688925.78,58502740.77,A,8,17.4,75838602.95,53883320.33,0.1215,6546137.55,Domestic,Low,Average,48,783,0.0023474269970073093,0,2024-04-30,0.03469556917918611,0.05654511409480706,0.04265661301752087,0.015071299865287758,23.89563209058569,0.8376130979100156
CORP_0020,Healthcare,5,14397,1,4052283000.54,8530415106.88,1.16,0.74,0.29,0.1,0.0966,5.07,0.1114,0.0381,0.0336,0.3,9.83,1237879914.41,829695959.05,CCC-,1,2.7,2281075096.67,1601974502.91,0.2784,446012302.91,Regional,Medium,Average,78,503,0.16264334479312123,0,2024-12-31,0.03137899549030157,0.061619466678369796,0.031163845282238388,0.01743900680124196,25.529119466695747,0.8428896528747505
CORP_0021,Consumer Goods,25,1979,0,0.0,240970208.17,1.0,0.63,0.3,0.68,0.3325,5.75,0.2117,0.0788,0.1226,0.3,5.83,69067148.66,54443054.86,BB,3,17.4,70423410.36,48621938.72,0.1869,9088060.13,Regional,Low,Strong,99,650,0.027011103293834528,0,2023-04-30,0.03156438627668371,0.05548860656046874,0.0324309570679129,0.02097087145321949,21.24904679221519,0.83086863700811
CORP_0022,Technology,14,29423,0,0.0,27879425851.82,2.04,1.46,0.79,0.94,0.4142,4.74,0.1489,0.1338,0.3054,1.06,3.74,4805922720.75,3710414294.04,AA-,5,10.2,2938526158.1,2254796220.04,0.2412,543788514.45,Regional,Low,Leader,89,829,0.0006950292267492714,0,2024-12-31,0.03137899549030157,0.061619466678369796,0.031163845282238388,0.01743900680124196,25.529119466695747,0.8428896528747505
CORP_0023,Energy,111,3197,1,3359498862.68,1311175419.02,1.21,0.78,0.47,0.58,0.4245,6.04,0.0688,0.0405,0.0755,1.55,6.02,103936550.49,91501106.76,BB+,7,77.1,352052232.5,215348242.71,0.0578,12451305.52,Domestic,Low,Average,66,678,0.04316813586678701,0,2024-02-29,0.0289749079021629,0.06025358871416649,0.03420755415740715,0.0171673256091268,24.883245300585088,0.8432684099336892
CORP_0024,Real Estate,24,2601,1,276638498.95,385919296.21,0.8,0.56,0.18,0.7,0.4058,7.79,0.0477,0.1121,0.1829,0.77,6.68,23284036.25,17706448.27,A-,10,19.2,82543264.4,67034733.24,0.4403,29517646.31,Domestic,Low,Leader,80,775,0.002384957273869186,0,2023-04-30,0.03156438627668371,0.05548860656046874,0.0324309570679129,0.02097087145321949,21.24904679221519,0.83086863700811
CORP_0025,Healthcare,34,2045,1,119869474.41,260012812.67,3.24,2.24,0.7,1.35,0.6589,4.3,0.128,0.2184,0.4496,1.06,16.63,37905965.81,25719871.33,BBB+,3,20.8,26709191.2,21159264.84,0.4358,9221738.91,Domestic,High,Leader,61,758,0.0034345961598832363,0,2022-12-31,-0.0018728922892086476,0.060912089898399926,0.03450420889080864,0.013588923375809081,25.863544535543017,0.807413970683563
CORP_0026,Consumer Goods,32,2713,1,129899851.04,278246312.46,0.8,0.5,0.31,1.71,0.7181,4.99,0.0063,0.0334,0.1047,2.9,6.82,2437595.7,2097250.27,BBB-,5,16.9,58321317.71,40662163.77,0.0638,2594623.01,Global,Low,Average,29,651,0.04603963059041831,1,2023-02-28,0.0339973416877403,0.0529424259359959,0.03363760860686109,0.020316013683670107,24.313820360323206,0.8781585876280772
CORP_0027,Real Estate,5,1064,0,0.0,89410866.0,0.8,0.58,0.31,2.14,0.6363,6.63,0.1903,0.1393,0.4064,1.44,3.02,22857930.68,14530999.09,A-,3,3.1,13784682.78,10946459.89,0.2789,3053155.27,Global,Medium,Strong,59,732,0.006618813102413661,0,2024-05-31,0.034657824834018636,0.05517633942511286,0.03957065105718657,0.014746394670999438,18.814867129049375,0.732630294168414
CORP_0028,Technology,12,2060,0,0.0,747380312.91,2.77,2.22,0.99,0.15,0.152,8.21,0.1077,0.1143,0.1057,0.48,8.06,98337905.02,60021027.46,AA+,4,7.1,126995604.16,96493783.16,0.2177,21008419.49,Global,Medium,Strong,90,850,0.000227064657880468,0,2023-11-30,0.04472161011056566,0.0553360888922595,0.028026805183269686,0.022505520881805113,17.018481254621115,0.7613581933871103
CORP_0029,Manufacturing,5,1191,0,0.0,252332400.93,0.8,0.57,0.37,0.83,0.5242,5.61,-0.0305,0.1305,0.2009,0.57,6.35,-9426344.49,-5930303.46,AA-,2,3.2,29661246.81,20167866.91,0.0755,1522595.04,Regional,High,Leader,58,821,0.0007196472032763662,0,2023-01-31,0.029522476424876185,0.048656053745884296,0.031114530822760132,0.01823395348490199,18.7152646552971,0.7410030339756155
CORP_0030,Healthcare,5,746,1,2027639951.91,124908905.48,1.07,0.72,0.31,0.78,0.5226,9.65,0.1669,0.1248,0.2096,0.3,12.11,28569307.25,21439300.83,BBB+,6,2.0,14793946.07,10695077.82,0.2994,3202133.23,Domestic,Medium,Leader,52,764,0.00143688354006406,0,2024-09-30,0.015916548408173605,0.03860390132354587,0.03519987129482797,0.02158169654461952,22.157301463024925,0.8690131623605147
CORP_0031,Healthcare,18,1707,1,816311160.15,344929368.25,0.8,0.59,0.24,1.05,0.4502,4.33,0.0684,0.1964,0.3872,3.0,5.13,28065884.88,22705584.57,A,7,11.7,31661434.3,25680422.0,0.3385,8693203.28,Domestic,Medium,Average,70,762,0.0024786845746471676,0,2024-12-31,0.03137899549030157,0.061619466678369796,0.031163845282238388,0.01743900680124196,25.529119466695747,0.8428896528747505
CORP_0032,Technology,12,1753,1,1584764459.84,504118487.55,0.8,0.7,0.33,1.13,0.4578,18.89,0.062,0.1116,0.2255,3.0,3.4,35338427.22,23205025.22,AA,6,7.0,47879612.07,42057260.89,0.1148,4826583.54,Regional,Low,Average,53,850,8.838191036068993e-05,0,2024-03-31,0.004971122783148704,0.048972192996683074,0.03683184875235978,0.013415258116731322,23.573618147452756,0.778281751303648
CORP_0033,Healthcare,9,1183,1,85640671.58,161129965.58,1.59,1.22,0.74,0.46,0.2785,7.21,0.1616,-0.011,-0.0167,0.59,9.9,32971511.1,22572363.4,BB,6,6.7,14696428.79,9120200.43,0.3345,3050830.97,Global,Medium,Average,55,642,0.05926357714706498,0,2024-01-31,0.02895401216336245,0.04909605772087824,0.03168004780130085,0.016194242434756336,21.787052278772908,0.7644314135073977
CORP_0034,Energy,104,5645,1,82476647.34,3093412094.47,0.8,0.55,0.18,1.13,0.5281,4.0,0.0234,0.1058,0.2469,2.99,3.97,85664712.3,65497776.01,A-,6,62.2,636830291.43,534525384.99,0.0364,19447581.09,Regional,Medium,Weak,83,731,0.010744172241221463,0,2023-12-31,0.022708583158864096,0.04619820984379244,0.028232429027276892,0.015741330410729816,19.893059443228346,0.7088330920178042
CORP_0035,Utilities,5,670,1,191063228.93,353049661.98,0.98,0.74,0.32,0.48,0.2652,10.23,0.1617,0.0152,0.0236,2.41,4.37,63132908.04,46194248.9,AA+,1,2.1,56738129.79,43599368.68,0.1842,8031945.46,Regional,Medium,Weak,41,840,0.000785112755563676,0,2023-03-31,0.03381930882865776,0.05095238573501423,0.037311716094907535,0.017794471254576984,22.539948405450666,0.8291414560507036
CORP_0036,Aerospace,12,4770,1,1507241138.51,817940086.91,0.8,0.55,0.22,0.91,0.4468,17.04,0.1189,0.0239,0.0486,1.67,6.87,108940393.3,84659835.38,A-,6,5.8,161338420.38,136079514.84,0.4411,60027948.02,Global,Medium,Average,76,772,0.0019811156742979507,0,2024-04-30,0.03469556917918611,0.05654511409480706,0.04265661301752087,0.015071299865287758,23.89563209058569,0.8376130979100156
CORP_0037,Utilities,5,1463,0,0.0,325284466.37,0.8,0.55,0.26,0.55,0.3542,7.34,0.0262,0.2302,0.4215,0.36,7.78,9836005.01,6853891.43,A,7,3.9,40670367.82,33753548.73,0.4041,13641210.93,Global,Medium,Average,69,784,0.0011650434080253266,0,2024-04-30,0.03469556917918611,0.05654511409480706,0.04265661301752087,0.015071299865287758,23.89563209058569,0.8376130979100156
CORP_0038,Financial Services,30,2498,1,1864068895.55,1803729842.1,1.76,1.42,0.56,0.9,0.4127,3.12,0.2407,0.1701,0.3042,2.63,7.51,516865432.57,462375890.13,A,3,13.9,464627923.69,402009378.69,0.2599,104501289.14,Global,Medium,Strong,82,776,0.002696490069083603,0,2024-01-31,0.02895401216336245,0.04909605772087824,0.03168004780130085,0.016194242434756336,21.787052278772908,0.7644314135073977
CORP_0039,Manufacturing,10,3985,1,159904992.41,693324477.77,1.46,0.96,0.55,0.3,0.218,9.49,0.1538,0.1564,0.2223,0.3,5.64,128937392.79,84293652.29,AA-,6,4.9,169298150.37,103487370.64,0.0423,4378572.45,Global,Low,Average,63,848,0.00045726717302916025,0,2023-12-31,0.022708583158864096,0.04619820984379244,0.028232429027276892,0.015741330410729816,19.893059443228346,0.7088330920178042
CORP_0040,Technology,5,1715,0,0.0,1048189156.17,1.57,1.12,0.65,1.43,0.6989,8.68,0.2455,0.0593,0.1268,0.49,5.68,313975262.2,192564965.13,BBB,8,2.0,128008292.89,91113344.3,0.2434,22175555.7,Regional,High,Average,31,703,0.011920046735160776,0,2024-09-30,0.015916548408173605,0.03860390132354587,0.03519987129482797,0.02158169654461952,22.157301463024925,0.8690131623605147
CORP_0041,Telecommunications,6,2202,1,1258853088.62,597504899.66,2.26,1.39,0.75,0.16,0.1687,6.6,0.2129,0.0784,0.0787,3.0,16.56,166076854.7,135099166.25,AA,2,3.6,139006435.09,104444419.43,0.378,39475245.38,Regional,Medium,Average,69,849,0.0006907317389801917,0,2024-06-30,0.06704358967047258,0.04959728125276691,0.0344851812997627,0.015176471367325958,22.5463910957259,0.7758461619374679
CORP_0042,Technology,53,1385,0,0.0,569715357.57,1.11,0.99,0.59,1.08,0.5206,10.27,0.0893,-0.0131,-0.022,1.57,9.8,66745399.72,42398962.4,BB+,5,18.3,106311338.09,87117008.98,0.2755,24000341.76,Domestic,Low,Average,76,668,0.030467180724754035,0,2022-12-31,-0.0018728922892086476,0.060912089898399926,0.03450420889080864,0.013588923375809081,25.863544535543017,0.807413970683563
CORP_0043,Transportation,47,1794,1,757448535.45,195631559.75,1.59,1.3,0.75,0.41,0.2931,7.5,0.0179,0.0148,0.0208,0.35,2.96,4084573.12,3153621.72,B+,6,24.2,22550113.28,19781424.05,0.4194,8296817.66,Regional,Low,Strong,84,622,0.12705800306760584,0,2023-04-30,0.03156438627668371,0.05548860656046874,0.0324309570679129,0.02097087145321949,21.24904679221519,0.83086863700811
CORP_0044,Telecommunications,77,4064,1,1616994921.7,1042008139.58,1.59,1.05,0.38,0.2,0.1842,10.27,0.1673,-0.0706,-0.0929,0.3,8.96,195386780.97,172674224.18,AA-,8,16.1,172832262.25,148048421.43,0.1993,29511087.89,Global,High,Strong,45,829,0.0022007255379221336,0,2024-11-30,0.03358124784374646,0.0495073889541218,0.03691107179328709,0.02042833664313584,23.252654847146324,0.8785246560659119
CORP_0045,Real Estate,11,1311,1,1384321026.44,116367664.86,0.8,0.66,0.26,0.64,0.4087,4.67,0.1646,0.2169,0.2903,1.64,2.0,23842538.49,15302374.69,AAA,2,8.0,34286594.83,21468366.81,0.32,6869633.58,Regional,Medium,Leader,94,850,0.00029094784637231165,0,2024-06-30,0.06704358967047258,0.04959728125276691,0.0344851812997627,0.015176471367325958,22.5463910957259,0.7758461619374679
CORP_0046,Telecommunications,12,986,1,379422262.15,92299738.28,0.95,0.69,0.3,0.54,0.3624,11.26,0.0258,0.0712,0.0881,1.01,4.92,2632679.97,2102230.13,AA,5,8.2,23941358.79,17650960.81,0.1288,2272897.22,Global,Medium,Strong,51,850,0.0003126979262869199,0,2023-12-31,0.022708583158864096,0.04619820984379244,0.028232429027276892,0.015741330410729816,19.893059443228346,0.7088330920178042
CORP_0047,Telecommunications,5,3996,1,270931327.54,376287852.46,1.65,1.1,0.58,0.1,0.1065,8.63,0.0276,0.0029,0.0037,1.41,5.95,11869109.38,7266800.63,BBB,10,2.0,80450546.75,66877058.99,0.1731,11574879.27,Regional,High,Leader,37,734,0.009463401686659862,0,2024-08-31,0.024619848790466338,0.05987807486761972,0.030277269143197515,0.018696547940990547,27.865517589241698,0.8962598579848741
CORP_0048,Media,69,1439,1,1925940829.77,291076377.93,0.8,0.51,0.31,0.72,0.495,6.36,0.1102,0.0647,0.1216,3.0,6.45,38964451.38,34613656.5,AAA,8,15.1,32035797.66,28279760.26,0.1011,2858203.42,Regional,High,Leader,75,850,0.0004761708521647044,0,2023-05-31,0.012513726520533543,0.07334920130649732,0.031140998862503978,0.01711559471502375,24.577554413233425,0.8220648219250999
CORP_0049,Transportation,21,544,1,69366082.58,74024234.61,2.89,1.96,1.36,0.24,0.1528,2.35,0.2177,-0.0202,-0.0254,1.68,2.04,19361903.86,12054901.96,A-,7,13.9,4226060.68,2537218.71,0.3849,976485.56,Regional,Medium,Leader,82,751,0.01836524370590469,0,2024-02-29,0.0289749079021629,0.06025358871416649,0.03420755415740715,0.0171673256091268,24.883245300585088,0.8432684099336892
CORP_0050,Technology,48,1910,1,577926032.71,1171074571.97,1.69,1.14,0.46,0.99,0.5562,8.76,0.2245,0.2065,0.3988,2.54,11.68,337836463.68,301862235.01,A,3,10.9,135348116.96,88075512.11,0.1157,10192187.52,Domestic,Medium,Average,65,800,0.0012466369741421777,0,2023-02-28,0.0339973416877403,0.0529424259359959,0.03363760860686109,0.020316013683670107,24.313820360323206,0.8781585876280772
CORP_0051,Energy,15,877,1,811210754.09,337866644.67,0.8,0.49,0.25,2.19,0.6532,9.72,0.0976,0.1616,0.5217,0.82,2.0,42005954.87,31421622.42,BBB+,2,8.7,27158650.52,22129742.54,0.2577,5702341.32,Domestic,Medium,Average,39,725,0.0058767460689969605,0,2023-08-31,0.008052395583524479,0.041925163786785305,0.03272494798869057,0.016007742508020287,22.282265607666464,0.775111971024865
CORP_0052,Manufacturing,33,6195,1,378190489.07,501852562.54,0.8,0.65,0.3,0.52,0.3391,8.42,0.196,0.1492,0.2603,0.3,8.49,133935420.02,103017905.55,A+,5,16.6,117671489.23,92955847.81,0.5385,50052902.36,Global,High,Weak,76,801,0.001509007819360079,0,2024-05-31,0.034657824834018636,0.05517633942511286,0.03957065105718657,0.014746394670999438,18.814867129049375,0.732630294168414
CORP_0053,Technology,5,1784,1,16678807.83,596030394.44,2.02,1.24,0.44,0.89,0.5316,2.63,0.1612,0.0855,0.1885,0.33,3.53,107818996.33,66501131.33,B,6,3.0,65226487.52,53665033.61,0.0292,1564539.52,Domestic,Low,Average,79,573,0.15643988024848737,0,2024-09-30,0.015916548408173605,0.03860390132354587,0.03519987129482797,0.02158169654461952,22.157301463024925,0.8690131623605147
CORP_0054,Healthcare,26,6367,1,385271532.87,2537968343.21,0.98,0.74,0.24,0.61,0.3782,4.26,0.0472,0.0464,0.0797,0.3,2.61,150776498.05,104824915.81,A-,2,16.7,374563294.76,321353328.23,0.3955,127082312.39,Regional,Medium,Average,29,733,0.009809720711999648,0,2024-07-31,0.022210383847610954,0.07195995607594714,0.035192313918469754,0.018493943141637013,26.924499295250627,0.9021123716377477
CORP_0055,Aerospace,10,6031,1,863063192.15,740853924.25,3.22,2.51,0.87,0.74,0.3642,5.88,0.1208,0.1815,0.2721,0.81,7.26,121726733.24,105531816.84,A-,6,2.2,199586519.44,125921825.07,0.3822,48121505.63,Regional,Low,Leader,58,793,0.0021230377940328763,0,2024-12-31,0.03137899549030157,0.061619466678369796,0.031163845282238388,0.01743900680124196,25.529119466695747,0.8428896528747505
CORP_0056,Financial Services,12,2600,1,17659130.08,773325375.81,2.64,1.62,0.92,2.36,0.7431,3.42,0.122,0.0272,0.0811,0.46,2.0,103831068.04,91406650.52,A,4,8.0,164277178.99,115158118.17,0.3824,44031560.18,Domestic,High,Leader,76,739,0.011588344962547553,0,2024-06-30,0.06704358967047258,0.04959728125276691,0.0344851812997627,0.015176471367325958,22.5463910957259,0.7758461619374679
CORP_0057,Transportation,12,2318,0,0.0,302551058.66,0.81,0.69,0.24,0.29,0.2403,12.66,0.1362,0.0456,0.066,0.44,6.26,52388501.19,39648971.0,A+,3,7.1,75424576.82,47645680.25,0.156,7431989.16,Domestic,High,Weak,55,802,0.0016839132862915456,0,2023-05-31,0.012513726520533543,0.07334920130649732,0.031140998862503978,0.01711559471502375,24.577554413233425,0.8220648219250999
CORP_0058,Healthcare,30,868,1,839501104.73,342175436.26,3.24,2.75,1.29,0.37,0.304,5.76,0.0995,0.0431,0.0508,0.3,10.05,41966618.31,27522638.74,BBB,4,17.5,22897742.12,17898123.27,0.2728,4882986.07,Domestic,High,Leader,49,743,0.00785844522487549,0,2024-03-31,0.004971122783148704,0.048972192996683074,0.03683184875235978,0.013415258116731322,23.573618147452756,0.778281751303648
CORP_0059,Technology,21,11880,0,0.0,2721997796.82,0.8,0.61,0.28,0.61,0.3406,4.52,0.1935,0.2325,0.3369,1.0,9.43,612425782.88,495577152.06,BBB-,6,13.9,399266618.61,321872998.43,0.1701,54739780.58,Regional,Medium,Average,61,692,0.009411598171872329,0,2023-07-31,0.0199449965378128,0.060318652951567533,0.03648197571268648,0.024912627018436127,27.01983447040821,1.006429858346778
CORP_0060,Financial Services,6,8615,0,0.0,1381726722.71,0.8,0.49,0.34,0.26,0.2002,6.39,-0.0046,0.1707,0.1871,1.36,6.54,-7522948.93,-5850602.49,AA-,3,4.8,201190767.25,129775345.07,0.204,26476469.31,Global,Medium,Weak,63,811,0.0014132255938117263,0,2023-07-31,0.0199449965378128,0.060318652951567533,0.03648197571268648,0.024912627018436127,27.01983447040821,1.006429858346778
CORP_0061,Financial Services,42,1438,1,1280153321.95,599643631.3,0.81,0.5,0.26,0.56,0.4166,7.84,0.1444,0.1158,0.183,0.32,5.16,101376513.96,90068949.55,A+,5,33.5,76812258.2,67024111.31,0.3473,23277127.42,Domestic,High,Leader,44,822,0.0006776248559618594,0,2022-12-31,-0.0018728922892086476,0.060912089898399926,0.03450420889080864,0.013588923375809081,25.863544535543017,0.807413970683563
CORP_0062,Energy,20,745,1,410519599.5,151441894.82,1.67,1.38,0.44,0.36,0.3103,16.77,0.1025,0.0911,0.1362,0.56,7.46,20229219.05,17602832.75,AA-,7,8.4,44356162.33,39153181.94,0.7408,29003983.72,Domestic,Low,Average,72,850,0.0002047034172394533,0,2023-04-30,0.03156438627668371,0.05548860656046874,0.0324309570679129,0.02097087145321949,21.24904679221519,0.83086863700811
CORP_0063,Financial Services,5,2425,1,490365799.79,586882699.12,0.85,0.76,0.43,0.55,0.4234,9.88,0.0989,0.1242,0.2226,3.0,8.37,80673154.2,69448818.81,A,5,3.8,147347891.8,117714488.68,0.1333,15692725.74,Domestic,High,Average,91,792,0.001057554980697678,0,2024-09-30,0.015916548408173605,0.03860390132354587,0.03519987129482797,0.02158169654461952,22.157301463024925,0.8690131623605147
CORP_0064,Manufacturing,24,1173,0,0.0,225119212.71,4.0,2.71,1.08,0.53,0.352,5.85,0.1132,0.1886,0.2663,0.83,2.0,35371064.74,24031766.44,BBB,9,12.5,27210453.6,16863780.49,0.1017,1715878.21,Domestic,Low,Weak,68,733,0.008338182143060683,0,2024-12-31,0.03137899549030157,0.061619466678369796,0.031163845282238388,0.01743900680124196,25.529119466695747,0.8428896528747505
